Program ID,Broad Field,Field,Institution Name,Program Name,Total Faculty (2006),Number of Allocated Faculty (2006),Assistant Professors as a Percent of Total Faculty (2006),Tenured Faculty as a Percent of Total Faculty (2006),Number of Core and New Faculty (2006),Number of Students Enrolled (Fall 2005),Average Annual First Year Enrollment (2002-2006),Percent of Students with Research Assistantships (Fall 2005),Percent of Students with Teaching Assistantships (Fall 2005),Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,15,15,13%,87%,15,11,2.8,100%,0%,,0%,,
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,27,8.35,11%,63%,10,6,1.6,60%,0%,,0%,,
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,21,21,5%,48%,21,4,2.8,50%,50%,0%,0%,0%,0%
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,26,20.9,4%,88%,24,23,3.2,52.2%,13%,0%,0%,0%,0%
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,16,10.51,6%,81%,14,9,1.75,44.4%,0%,,,,
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,19,14.61,11%,58%,14,10,1.6,66.7%,0%,,,,
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,13,9.22,0%,100%,10,10,2,80%,0%,,,,
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,33,27.94,0%,82%,27,24,5,0%,0%,,,,
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,36,21.25,19%,78%,19,12,4.2,30%,60%,0%,0%,0%,0%
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,29,28.93,28%,72%,29,45,10.4,31.1%,55.6%,0%,0%,0%,0%
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,69,33.32,0%,97%,32,20,5.2,45%,0%,50%,0%,0%,0%
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,39,19.09,0%,95%,19,6,1.8,0%,0%,0%,0%,0%,0%
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,16,13.74,38%,63%,12,1,2,,,*,*,*,*
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,23,10.72,0%,87%,12,9,3.2,100%,0%,0%,0%,0%,0%
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,58,32.22,10%,79%,47,14,1.25,18.2%,0%,0%,0%,0%,0%
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,47,31.43,23%,55%,29,26,4.2,54.5%,40.9%,0%,0%,0%,0%
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,19,15.98,0%,68%,17,7,4.6,75%,0%,0%,0%,0%,0%
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,14,11.26,7%,79%,12,8,2.25,40%,30%,,0%,,
20028761,Agricultural Sciences,Animal Sciences,Ohio State University Main Campus,Animal Sciences,51,30.26,8%,88%,31,17,4.25,75%,0%,0%,0%,0%,0%
20041861,Agricultural Sciences,Animal Sciences,Oklahoma State University Main Campus,Animal Nutrition,28,11.29,7%,71%,18,14,4.8,50%,0%,,6.7%,,
20018522,Agricultural Sciences,Animal Sciences,Oregon State University,Animal Science,23,15.48,4%,61%,14,7,1.8,100%,0%,*,*,*,*
20031169,Agricultural Sciences,Animal Sciences,Penn State University,Animal Science,37,17.47,5%,89%,19,7,2.75,85.7%,0%,0%,0%,0%,0%
20055637,Agricultural Sciences,Animal Sciences,Purdue University Main Campus,Animal Sciences,57,30.9,21%,74%,27,36,6,94.1%,0%,0%,0%,0%,0%
20012353,Agricultural Sciences,Animal Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Animal Sciences,16,12.44,13%,88%,16,16,3.6,7.7%,53.8%,28.6%,0%,0%,0%
20040613,Agricultural Sciences,Animal Sciences,Southern Illinois University Carbondale,Zoology,28,26.04,25%,68%,26,31,7.2,58.1%,16.1%,0%,0%,0%,12.5%
20021700,Agricultural Sciences,Animal Sciences,Texas A & M University,Animal Science,39,23.22,21%,64%,39,23,7.2,0%,0%,0%,0%,100%,0%
20021807,Agricultural Sciences,Animal Sciences,Texas A & M University,Wildlife & Fisheries Sciences,40,33.16,8%,80%,33,66,12.6,51.2%,29.3%,28.6%,14.3%,0%,0%
20065151,Agricultural Sciences,Animal Sciences,Texas A & M University,Reproductive Physiology,16,7.9,6%,75%,11,13,2.4,0%,0%,0%,0%,100%,0%
20022929,Agricultural Sciences,Animal Sciences,Texas Tech University,Zoology,39,8.17,10%,69%,34,5,2,20%,80%,*,*,*,*
20027995,Agricultural Sciences,Animal Sciences,University of Alaska Fairbanks,Fisheries,22,13.85,18%,59%,12,15,2.25,52.9%,17.6%,,,,
20033785,Agricultural Sciences,Animal Sciences,University of Arizona,Animal Sciences,16,9.85,19%,,10,6,1.8,0%,0%,,,100%,
20013530,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Animal Sciences,20,13.16,0%,95%,13,20,2,100%,0%,0%,0%,0%,0%
20013750,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Poultry Science,30,15.17,7%,87%,17,13,4.2,19%,14.3%,0%,0%,83.3%,0%
20023805,Agricultural Sciences,Animal Sciences,University of Connecticut,Animal Science PhD,37,15.02,16%,73%,15,21,2.33,21.1%,0%,0%,0%,0%,0%
20024215,Agricultural Sciences,Animal Sciences,University of Connecticut,Pathobiology PhD,16,9.59,19%,75%,10,14,3.33,58.3%,16.7%,0%,0%,0%,0%
20012081,Agricultural Sciences,Animal Sciences,University of Delaware,Animal Science,22,21.9,0%,64%,22,7,2.2,30.8%,7.7%,,0%,,
20012926,Agricultural Sciences,Animal Sciences,University of Florida,Animal Sciences,41,36.61,10%,71%,35,29,7.8,3.7%,0%,0%,0%,20%,70%
20013080,Agricultural Sciences,Animal Sciences,University of Florida,Fisheries and Aquatic Sciences,25,18.13,24%,52%,16,20,4.4,35%,0%,66.7%,0%,0%,0%
20013501,Agricultural Sciences,Animal Sciences,University of Florida,Veterinary Medical Sciences,91,75.02,14%,81%,75,57,11,42.1%,7%,0%,0%,42.9%,0%
20019563,Agricultural Sciences,Animal Sciences,University of Georgia,Animal and Dairy Science,20,18.47,15%,85%,19,17,3.8,100%,0%,0%,0%,0%,0%
