Broad Field,Field,Institution Name,Program Name,Number of Core Faculty,Number of New Faculty,Number of Associated Faculty,Number of Students Enrolled (2005-2006),Number of Students Currently Enrolled Who Are in the Candidacy Stage (2005-2006)
Biological and Health Sciences,Bioinformatics,Boston University,Bioinformatics,0,0,9,73,73
Biological and Health Sciences,Bioinformatics,Columbia University In The City of New York,Biomedical Informatics,13,4,10,33,4
Biological and Health Sciences,Bioinformatics,Georgia Institute of Technology,Bioinformatics,5,2,4,12,2
Biological and Health Sciences,Bioinformatics,Georgia State University,Computer Science (Bioinformatics),,,,,
Biological and Health Sciences,Bioinformatics,Massachusetts Institute of Technology,Bioinformatics and Integrative Genomics,12,0,0,23,13
Biological and Health Sciences,Bioinformatics,North Dakota State University Main Campus,Genomics and Bioinformatics,,,,,
Biological and Health Sciences,Bioinformatics,Purdue University Main Campus,Computational Life Science,6,0,0,3,0
Biological and Health Sciences,Bioinformatics,Rutgers The State University of New Jersey New Brunswick Campus,Computational Biology and Molecular Biophysics,5,0,,19,3
Biological and Health Sciences,Bioinformatics,Stanford University,Biomedical Informatics,11,0,33,26,6
Biological and Health Sciences,Bioinformatics,University of California-San Diego,Bioinformatics,25,3,23,43,21
Biological and Health Sciences,Bioinformatics,University of Illinois At Chicago,Bioinformatics,3,0,0,18,7
Biological and Health Sciences,Bioinformatics,University of Michigan-Ann Arbor,Bioinformatics,41,0,0,18,14
Biological and Health Sciences,Bioinformatics,University of North Carolina At Chapel Hill,Bioinformatics and Computational Biology,19,3,14,28,0
Biological and Health Sciences,Bioinformatics,University of Pittsburgh Pittsburgh Campus,Biomedical Informatics,29,1,6,39,4
Biological and Health Sciences,Bioinformatics,University of Texas Health Science Center At Houston,Bioinformatics,10,4,10,18,5
Biological and Health Sciences,Bioinformatics,University of Utah,Biomedical Informatics,20,2,17,45,32
Biological and Health Sciences,Bioinformatics,Virginia Polytechnic Institute And State University,"Genetics, Bioinformatics, and Computational Biology",19,2,19,33,2
Biological and Health Sciences,Biotechnology,Oregon State University,Biological and Ecological Engineering,12,2,25,7,4
Biological and Health Sciences,Biotechnology,University of Alabama In Huntsville,Biotechnology Science and Engineering,,,,,
Biological and Health Sciences,Biotechnology,Virginia Polytechnic Institute And State University,Biomedical Engineering,,,,,
Biological and Health Sciences,Systems Biology,Harvard University,Systems Biology,,,,,
Biological and Health Sciences,Systems Biology,Massachusetts Institute of Technology,Computational and Systems Biology,25,3,0,31,15
Biological and Health Sciences,Biotechnology,Massachusetts Institute of Technology,Biotechnology,8,0,3,30,22
