Program ID,Broad Field,Field,Institution Name,Program Name,R Rankings:  5th Percentile,R Rankings:  95th Percentile,S Rankings:  5th Percentile,S Rankings:  95th Percentile,Research Activity:  5th Percentile,Research Activity: 95th Percentile,"Student Support
& Outcomes:  5th Percentile","Student Support & Outcomes:  95th
Percentile",Diversity: 5th Percentile,Diversity:  95th Percentile
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,28,56,27,55,21,54,11,37,4,17
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,53,60,43,59,48,60,7,40,1,1
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,53,60,56,60,25,54,51,60,45,56
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,1,7,2,11,2,15,4,28,17,34
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,3,20,7,30,8,36,3,24,27,45
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,15,41,11,44,15,51,5,40,48,57
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,1,56,2,33,2,16,5,39,3,14
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,3,24,29,55,4,29,58,60,54,58
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,16,43,37,57,30,56,51,59,22,41
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,41,55,30,58,19,56,18,46,60,60
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,11,43,4,26,7,36,2,22,3,12
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,5,42,8,37,3,25,51,59,36,51
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,15,48,37,56,50,60,1,12,57,59
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,21,45,25,52,26,55,5,38,12,22
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,4,21,5,21,10,35,15,41,6,19
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,18,45,7,35,13,45,12,46,21,37
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,12,51,23,54,22,54,2,27,37,53
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,46,60,45,59,47,60,1,32,49,57
20028761,Agricultural Sciences,Animal Sciences,Ohio State University Main Campus,Animal Sciences,7,35,11,40,10,41,37,57,20,34
20041861,Agricultural Sciences,Animal Sciences,Oklahoma State University Main Campus,Animal Nutrition,4,29,6,30,18,53,6,26,35,51
20018522,Agricultural Sciences,Animal Sciences,Oregon State University,Animal Science,47,58,47,59,53,60,2,26,58,59
20031169,Agricultural Sciences,Animal Sciences,Penn State University,Animal Science,11,44,55,60,51,60,46,58,17,34
20055637,Agricultural Sciences,Animal Sciences,Purdue University Main Campus,Animal Sciences,9,32,9,36,10,46,23,49,17,32
20012353,Agricultural Sciences,Animal Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Animal Sciences,27,54,35,57,22,50,28,52,6,19
20040613,Agricultural Sciences,Animal Sciences,Southern Illinois University Carbondale,Zoology,45,57,22,54,17,51,18,50,40,53
20021700,Agricultural Sciences,Animal Sciences,Texas A & M University,Animal Science,12,43,45,58,37,55,17,45,23,38
