Program ID,Broad Field,Field,Institution Name,Program Name,Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings,Count of Student Activities
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,3,,,,,1,,1,,1,,3,1,1,,,,3,8
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,3,1,1,1,4,1,1,3,4,1,1,1,1,1,1,4,4,2,14
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,3,3,3,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,12
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,1,1,1,1,1,3,1,2,4,3,1,1,1,1,1,4,1,3,16
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,3,1,1,1,4,1,4,2,1,3,1,1,3,3,3,2,1,3,16
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,3,3,1,1,4,3,2,2,1,3,3,3,3,1,3,2,1,3,17
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,1,1,1,1,1,,1,4,1,1,1,4,1,1,3,2,1,2,15
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,1,1,1,1,2,2,1,3,4,3,1,3,1,1,1,4,1,3,16
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,3,1,1,1,1,3,3,4,3,1,1,4,1,1,3,2,3,2,16
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,3,3,1,3,4,3,3,3,3,3,4,3,3,3,1,1,3,3,16
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,3,1,1,1,4,3,2,4,3,3,3,3,3,3,1,2,1,3,16
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,3,3,1,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,18
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,3,1,1,1,1,3,1,2,1,1,1,1,3,3,1,3,1,3,18
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,3,2,2,2,1,3,2,1,1,3,4,3,3,1,3,3,3,3,17
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,3,3,3,1,1,3,1,3,1,3,3,3,3,3,3,2,3,3,18
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,3,1,3,1,1,3,1,3,1,3,3,1,1,1,3,2,1,1,18
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,3,3,1,3,2,2,2,4,1,2,2,4,1,1,2,4,4,3,14
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,3,3,3,4,4,3,2,2,2,2,4,4,1,1,1,3,2,4,13
20028761,Agricultural Sciences,Animal Sciences,Ohio State University Main Campus,Animal Sciences,3,1,1,1,1,1,1,1,1,3,3,1,3,3,3,3,1,3,18
20041861,Agricultural Sciences,Animal Sciences,Oklahoma State University Main Campus,Animal Nutrition,3,3,1,1,3,3,3,3,1,3,3,3,1,1,4,1,3,3,17
20018522,Agricultural Sciences,Animal Sciences,Oregon State University,Animal Science,3,1,1,1,1,3,4,1,4,1,4,4,1,1,4,2,4,3,12
20031169,Agricultural Sciences,Animal Sciences,Penn State University,Animal Science,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,3,18
20055637,Agricultural Sciences,Animal Sciences,Purdue University Main Campus,Animal Sciences,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,18
20012353,Agricultural Sciences,Animal Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Animal Sciences,3,1,1,4,1,1,3,2,3,3,4,1,3,3,1,2,3,3,16
20040613,Agricultural Sciences,Animal Sciences,Southern Illinois University Carbondale,Zoology,3,1,1,4,4,2,1,1,1,3,2,2,1,1,2,2,4,2,15
20021700,Agricultural Sciences,Animal Sciences,Texas A & M University,Animal Science,3,3,3,2,2,3,3,1,3,3,3,1,1,1,2,2,1,3,18
20021807,Agricultural Sciences,Animal Sciences,Texas A & M University,Wildlife & Fisheries Sciences,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,3,15
20065151,Agricultural Sciences,Animal Sciences,Texas A & M University,Reproductive Physiology,3,3,1,2,4,3,3,3,3,3,3,3,3,3,3,2,3,3,17
20022929,Agricultural Sciences,Animal Sciences,Texas Tech University,Zoology,3,1,1,1,4,3,2,3,3,3,1,3,3,3,3,3,3,3,17
20027995,Agricultural Sciences,Animal Sciences,University of Alaska Fairbanks,Fisheries,3,1,3,3,3,3,2,2,1,3,2,1,3,3,2,3,1,3,18
20033785,Agricultural Sciences,Animal Sciences,University of Arizona,Animal Sciences,3,1,3,1,2,1,1,1,1,3,3,1,1,1,1,2,1,3,18
20013530,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Animal Sciences,3,1,1,,,3,3,,3,3,2,,3,3,3,3,3,3,14
20013750,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Poultry Science,1,1,1,1,4,1,,4,3,3,3,4,1,1,,3,1,3,13
20023805,Agricultural Sciences,Animal Sciences,University of Connecticut,Animal Science PhD,3,1,3,4,4,2,2,2,1,3,2,1,1,1,3,3,3,3,16
20024215,Agricultural Sciences,Animal Sciences,University of Connecticut,Pathobiology PhD,1,1,1,4,4,,2,2,1,1,4,1,1,1,3,3,1,3,14
20012081,Agricultural Sciences,Animal Sciences,University of Delaware,Animal Science,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,3,15
20012926,Agricultural Sciences,Animal Sciences,University of Florida,Animal Sciences,3,1,1,1,4,1,4,1,4,3,3,1,1,1,1,3,1,3,15
20013080,Agricultural Sciences,Animal Sciences,University of Florida,Fisheries and Aquatic Sciences,3,1,1,1,2,3,2,3,4,3,3,3,3,1,1,2,3,3,17
20013501,Agricultural Sciences,Animal Sciences,University of Florida,Veterinary Medical Sciences,3,3,1,1,4,3,2,1,2,2,4,2,1,1,3,2,1,3,16
20019563,Agricultural Sciences,Animal Sciences,University of Georgia,Animal and Dairy Science,3,1,1,1,1,3,3,1,1,3,3,1,1,3,3,1,1,3,18
20019945,Agricultural Sciences,Animal Sciences,University of Georgia,Poultry Science,3,1,3,3,3,3,3,3,1,3,1,3,1,1,1,3,3,3,18
20014966,Agricultural Sciences,Animal Sciences,University of Hawaii At Manoa,Zoology,1,1,1,1,4,1,2,2,3,1,1,1,1,1,4,3,1,1,16
20067557,Agricultural Sciences,Animal Sciences,University of Idaho,Animal Physiology,3,3,2,4,2,3,3,3,4,3,1,3,1,3,4,4,3,3,14
20038777,Agricultural Sciences,Animal Sciences,University of Illinois At Urbana-Champaign,Animal Sciences,2,3,1,1,1,3,4,2,2,4,4,4,3,3,3,2,1,1,14
20028059,Agricultural Sciences,Animal Sciences,University of Kentucky,Animal Sciences,3,1,1,1,2,1,1,3,1,1,3,1,1,1,1,1,1,3,18
20049986,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Animal Sciences,3,3,3,1,4,3,4,3,1,3,1,1,3,1,3,2,1,3,16
20050548,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Veterinary Medical Sciences,3,1,1,1,4,1,4,1,1,1,1,1,1,1,1,2,1,3,16
20039598,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Animal Sciences,3,3,1,3,2,3,3,3,3,3,2,1,3,3,3,3,3,2,18
20040299,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Veterinary Medicine,3,1,1,1,4,3,2,2,3,1,4,3,1,1,3,3,1,2,16
20025188,Agricultural Sciences,Animal Sciences,University of Missouri - Columbia,Animal Sciences,1,1,1,4,2,3,3,3,1,3,3,3,3,1,3,3,3,3,17
20017086,Agricultural Sciences,Animal Sciences,University of Nebraska - Lincoln,Animal Science,3,1,1,2,2,3,1,1,1,3,3,3,3,1,3,2,1,2,18
20045647,Agricultural Sciences,Animal Sciences,University of Tennessee,Animal Science,2,1,1,4,1,1,4,4,4,3,3,3,1,4,3,4,1,3,12
20059439,Agricultural Sciences,Animal Sciences,University of Washington,Aquatic and Fishery Sciences,3,3,1,1,3,3,3,2,3,3,2,2,3,3,3,2,3,3,18
20030306,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Animal Sciences,3,1,1,1,4,1,1,3,1,1,1,1,1,1,1,4,1,3,16
20030526,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Dairy Science,3,1,1,1,4,1,3,1,1,3,1,3,1,1,1,4,1,3,16
20031127,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Zoology,,,,,,,,,,,,,,,,,,,16
20024752,Agricultural Sciences,Animal Sciences,University of Wyoming,Reproductive Biology,,,,,,,,,,,,,,,,,,,
20044363,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,"Animal Sciences, Dairy",1,1,1,1,1,3,4,3,2,1,1,1,1,1,3,3,1,3,17
20044376,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Animal and Poultry Sciences,3,3,3,1,1,1,2,1,1,3,1,3,1,1,3,3,1,3,18
20044541,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Fisheries and Wildlife,3,1,1,1,1,3,2,3,,3,1,3,1,1,3,3,3,3,17
20058304,Agricultural Sciences,Animal Sciences,Washington State University,Animal Sciences,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,3,18
20037862,Agricultural Sciences,Entomology,Auburn University,Entomology,1,1,1,4,4,3,2,1,,3,4,3,1,1,1,2,4,3,13
20016841,Agricultural Sciences,Entomology,Clemson University,Entomology,1,1,1,1,4,1,1,1,4,1,1,3,1,1,1,1,3,2,16
20015761,Agricultural Sciences,Entomology,Cornell University,Entomology,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,1,18
20016430,Agricultural Sciences,Entomology,Iowa State University,Entomology,3,1,1,1,4,3,4,4,1,3,1,1,3,3,1,4,1,3,14
20028596,Agricultural Sciences,Entomology,Kansas State University,Entomology,3,1,1,1,1,3,4,1,4,3,3,3,3,3,1,2,1,3,16
20058087,Agricultural Sciences,Entomology,Louisiana State University And Agricultural And Mechanical College,Entomology,3,3,1,1,1,3,1,2,1,3,3,2,1,1,3,2,3,2,18
20046918,Agricultural Sciences,Entomology,Michigan State University,Entomology,3,1,1,1,1,3,3,4,3,3,3,3,3,3,3,3,3,3,17
20024451,Agricultural Sciences,Entomology,Mississippi State University,Entomology and Plant Pathology (degree: PhD in Life Sciences),3,3,1,1,4,3,4,1,4,3,3,1,1,1,1,2,1,3,15
20041418,Agricultural Sciences,Entomology,North Carolina State University,Entomology,3,1,1,1,1,1,3,1,3,3,1,3,1,1,1,2,1,3,18
20028965,Agricultural Sciences,Entomology,Ohio State University Main Campus,Entomology,3,1,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,18
20041971,Agricultural Sciences,Entomology,Oklahoma State University Main Campus,Entomology,3,1,3,3,3,3,3,1,3,3,1,3,1,1,1,1,1,3,18
20018564,Agricultural Sciences,Entomology,Oregon State University,Entomology,1,1,1,1,1,1,4,1,4,1,4,4,1,1,4,4,4,1,11
20031392,Agricultural Sciences,Entomology,Penn State University,Entomology,2,1,1,3,3,1,3,1,3,3,1,3,1,1,3,3,3,3,18
20055844,Agricultural Sciences,Entomology,Purdue University Main Campus,Entomology,3,3,1,1,3,3,3,3,3,3,3,3,3,1,3,3,1,3,18
20012531,Agricultural Sciences,Entomology,Rutgers The State University of New Jersey New Brunswick Campus,Entomology,1,1,1,4,1,1,1,4,1,1,4,1,1,1,1,2,1,3,15
20013624,Agricultural Sciences,Entomology,University of Arkansas Main Campus,Entomology,3,1,1,1,1,3,2,3,3,3,1,2,3,1,1,3,1,3,18
20067159,Agricultural Sciences,Entomology,University of California-Davis,Entomology,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18
20048819,Agricultural Sciences,Entomology,University of California-Riverside,Entomology,3,1,1,3,1,3,3,3,4,3,1,3,3,3,3,3,1,3,17
20013064,Agricultural Sciences,Entomology,University of Florida,Entomology and Nematology,3,1,1,1,4,1,2,1,4,3,1,1,1,3,1,2,3,3,16
20019699,Agricultural Sciences,Entomology,University of Georgia,Entomology,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18
20038984,Agricultural Sciences,Entomology,University of Illinois At Urbana-Champaign,Entomology,2,1,3,1,1,3,2,4,2,2,2,2,3,3,3,2,1,3,17
20028198,Agricultural Sciences,Entomology,University of Kentucky,Entomology,3,1,1,1,4,3,3,3,1,3,3,3,1,1,1,3,1,3,17
20050195,Agricultural Sciences,Entomology,University of Maryland College Park,Entomology,3,3,3,3,4,3,4,3,3,3,1,1,1,1,3,2,3,3,16
20039857,Agricultural Sciences,Entomology,University of Minnesota-Twin Cities,Entomology,3,3,1,1,3,3,3,3,3,3,4,3,3,3,1,3,3,3,17
20017099,Agricultural Sciences,Entomology,University of Nebraska - Lincoln,Entomology,3,3,1,4,4,3,3,1,1,1,1,1,1,1,3,2,1,2,16
20030584,Agricultural Sciences,Entomology,University of Wisconsin-Madison,Entomology,3,1,1,1,4,3,3,3,1,3,3,1,1,1,1,2,1,3,17
20044525,Agricultural Sciences,Entomology,Virginia Polytechnic Institute And State University,Entomology,3,3,3,1,1,3,2,3,2,3,3,3,1,3,3,1,3,3,18
20058427,Agricultural Sciences,Entomology,Washington State University,Entomology,3,1,1,1,3,3,3,3,3,3,1,3,3,3,3,1,3,3,18
20016854,Agricultural Sciences,Food Science,Clemson University,Food Technology,3,3,1,1,,3,1,3,4,1,1,1,1,1,1,4,3,3,15
20056351,Agricultural Sciences,Food Science,Colorado State University,Food Science & Human Nutrition,3,1,1,1,1,4,4,3,1,3,2,3,3,3,3,2,1,2,16
20015787,Agricultural Sciences,Food Science,Cornell University,Food Science and Technology,3,1,1,1,1,3,3,4,4,1,1,1,1,1,3,2,1,3,16
20016456,Agricultural Sciences,Food Science,Iowa State University,Food Science & Technology,3,3,3,1,4,3,2,4,3,1,1,1,3,3,3,2,1,3,16
20028606,Agricultural Sciences,Food Science,Kansas State University,Food Science,3,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,2,17
20058090,Agricultural Sciences,Food Science,Louisiana State University And Agricultural And Mechanical College,Food Science,3,3,1,1,1,3,1,4,1,3,3,4,1,1,1,4,1,2,15
20046947,Agricultural Sciences,Food Science,Michigan State University,Food Science,3,3,1,1,1,3,3,4,1,1,1,1,3,3,3,3,1,3,17
20024464,Agricultural Sciences,Food Science,Mississippi State University,Food Science (degree: PhD in Food Science and Nutrition),1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,3,1,3,18
20041434,Agricultural Sciences,Food Science,North Carolina State University,Food Science,3,3,3,1,1,3,1,1,3,3,1,1,1,1,3,2,1,3,18
20028994,Agricultural Sciences,Food Science,Ohio State University Main Campus,Food Science and Nutrition,3,1,1,1,1,3,1,1,1,3,3,3,3,3,3,1,3,3,18
20041997,Agricultural Sciences,Food Science,Oklahoma State University Main Campus,Food Science,1,1,1,1,,,,,,3,,,,,1,,,2,7
20018593,Agricultural Sciences,Food Science,Oregon State University,Food Science and Technology,3,1,1,1,1,1,2,1,4,3,2,4,1,1,2,2,4,3,15
20031402,Agricultural Sciences,Food Science,Penn State University,Food Science,2,3,1,1,1,3,3,3,3,3,1,1,1,1,3,3,3,3,18
20012557,Agricultural Sciences,Food Science,Rutgers The State University of New Jersey New Brunswick Campus,Food Science,3,1,1,4,1,3,1,4,3,3,2,1,1,1,1,2,1,3,16
20055857,Agricultural Sciences,Food Science,Purdue University Main Campus,Food Science,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18
20021632,Agricultural Sciences,Food Science,Texas A & M University,Food Science & Technology,3,3,1,1,4,1,4,4,4,2,2,4,1,1,4,4,4,2,10
20013640,Agricultural Sciences,Food Science,University of Arkansas Main Campus,Food Science,3,2,1,1,3,3,3,3,3,2,2,2,1,1,2,3,3,3,18
20067175,Agricultural Sciences,Food Science,University of California-Davis,Food Science,3,1,1,1,1,3,1,3,3,3,3,1,1,1,3,1,3,3,18
20013103,Agricultural Sciences,Food Science,University of Florida,Food Science and Human Nutrition: Food Science,3,1,1,1,4,1,2,1,2,1,1,1,1,1,1,2,1,1,17
