Program ID,Broad Field,Field,Institution Name,Program Name,Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty (2006),Female Faculty as a Percent of Total Core and New Faculty (2006),Non-Asian Minority Students as a Percent of Total Domestic Students (Fall 2005),Female Students as a Percent of Total Students (Fall 2005),International Students as a Percent of Total Students (Fall 2005)
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,6.7%,13.3%,0%,63.6%,63.6%
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,10%,0%,100%,66.7%,0%
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,5.3%,19%,0%,25%,25%
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,0%,16.7%,0%,52.2%,47.8%
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,0%,14.3%,0%,33.3%,66.7%
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,0%,14.3%,0%,30%,30%
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,0%,10%,33.3%,50%,60%
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,0%,11.5%,0%,33.3%,8.3%
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,5.6%,5.3%,0%,50%,41.7%
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,6.9%,34.5%,7.7%,55.6%,42.2%
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,3.2%,31.3%,14.3%,50%,30%
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,0%,0%,0%,11.1%,22.2%
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,5.3%,15.8%,0%,33.3%,33.3%
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,0%,16.7%,0%,25%,0%
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,2.2%,14.9%,16.7%,42.9%,57.1%
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,7.1%,14.3%,4.5%,50%,15.4%
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,0%,17.6%,0%,42.9%,14.3%
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,0%,16.7%,0%,37.5%,0%
20041861,Agricultural Sciences,Animal Sciences,Oklahoma State University Main Campus,Animal Nutrition,0%,16.7%,0%,28.6%,57.1%
20028761,Agricultural Sciences,Animal Sciences,Ohio State University Main Campus,Animal Sciences,0%,9.7%,25%,41.2%,29.4%
20018522,Agricultural Sciences,Animal Sciences,Oregon State University,Animal Science,0%,6.7%,0%,28.6%,0%
20031169,Agricultural Sciences,Animal Sciences,Penn State University,Animal Science,0%,15.8%,0%,42.9%,71.4%
20055637,Agricultural Sciences,Animal Sciences,Purdue University Main Campus,Animal Sciences,3.8%,11.1%,5.6%,47.2%,50%
20012353,Agricultural Sciences,Animal Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Animal Sciences,6.3%,25%,13.3%,62.5%,6.3%
20040613,Agricultural Sciences,Animal Sciences,Southern Illinois University Carbondale,Zoology,3.8%,7.7%,16%,29%,19.4%
20021700,Agricultural Sciences,Animal Sciences,Texas A & M University,Animal Science,3.1%,15.6%,12.5%,39.1%,30.4%
20021807,Agricultural Sciences,Animal Sciences,Texas A & M University,Wildlife & Fisheries Sciences,3.4%,15.2%,12.8%,42.4%,25.8%
20065151,Agricultural Sciences,Animal Sciences,Texas A & M University,Reproductive Physiology,0%,18.2%,8.3%,38.5%,7.7%
20022929,Agricultural Sciences,Animal Sciences,Texas Tech University,Zoology,6.5%,15.6%,40%,40%,0%
20027995,Agricultural Sciences,Animal Sciences,University of Alaska Fairbanks,Fisheries,0%,25%,0%,33.3%,26.7%
20013530,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Animal Sciences,7.7%,15.4%,0%,30%,20%
20033785,Agricultural Sciences,Animal Sciences,University of Arizona,Animal Sciences,0%,0%,50%,66.7%,33.3%
20013750,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Poultry Science,5.9%,5.9%,33.3%,46.2%,76.9%
20023805,Agricultural Sciences,Animal Sciences,University of Connecticut,Animal Science PhD,0%,20%,0%,38.1%,66.7%
20024215,Agricultural Sciences,Animal Sciences,University of Connecticut,Pathobiology PhD,12.5%,10%,0%,35.7%,28.6%
20012081,Agricultural Sciences,Animal Sciences,University of Delaware,Animal Science,4.5%,36.4%,0%,85.7%,28.6%
20012926,Agricultural Sciences,Animal Sciences,University of Florida,Animal Sciences,11.4%,14.3%,18.8%,41.4%,44.8%
20013080,Agricultural Sciences,Animal Sciences,University of Florida,Fisheries and Aquatic Sciences,6.3%,12.5%,0%,35%,10%
20013501,Agricultural Sciences,Animal Sciences,University of Florida,Veterinary Medical Sciences,13.9%,24%,11.1%,59.6%,17.5%
