Program ID,Broad Field,Field,Institution Name,Program Name,Program Website,Control,Regional Code,Program Size Quartile
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,http://www.ag.auburn.edu/poul/graduatestudies.html,Public,SC,2
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,http://www.clemson.edu/for/,Public,SA,1
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,http://ansci.colostate.edu/,Public,W,1
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,http://www.ansci.cornell.edu/,Private,NE,3
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,http://www.ans.iastate.edu/section/abg/,Public,MW,1
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,http://www.ans.iastate.edu/section/nutrition,Public,MW,2
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,http://www.ans.iastate.edu/section/meat/,Public,MW,2
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,http://www.asi.ksu.edu,Public,MW,3
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,http://www.lsuagcenter.com/en/our_offices/departments/Animal_Science/,Public,SC,2
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,http://www.rnr.lsu.edu,Public,SC,1
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,http://zoology.muohio.edu/,Public,MW,4
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,http://www.ans.msu.edu,Public,MW,3
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,http://www.cvm.msu.edu/lcs/index.htm,Public,MW,1
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,http://aces.nmsu.edu/academics/anrs/animal-sci-graduate--phd.html,Public,W,1
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,http://www.cals.ncsu.edu/an_sci/grad/,Public,SA,2
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,http://www.cals.ncsu.edu/zoology/,Public,SA,4
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,http://www.ag.ndsu.edu/ars/,Public,MW,1
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,http://biology.ndsu.nodak.edu,Public,MW,1
