Program ID,Broad Field,Field,Institution Name,Program Name,Average Number of  PhDs Graduated (2002-2006),Percent of Interdisciplinary Faculty (2006),Average GRE Scores (2004-2006),"Percent of
First Year Students with External Fellowships (2005)",Is Student Work Space Provided?,Is Health Insurance Provided?,Number of Student Activities (Max=18)
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,2.8,0%,665,0%,Yes,No,8
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,2,63%,512,0%,Yes,Yes,14
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,2.8,0%,639,0%,Yes,No,12
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,6.6,7.7%,715,0%,Yes,Yes,16
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,3,12.5%,713,0%,Yes,Yes,16
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,1.4,26.3%,718,0%,Yes,Yes,17
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,2.2,23.1%,575,0%,Yes,Yes,16
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,6.8,18.2%,639,0%,Yes,Yes,16
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,5.2,47.2%,610,0%,Yes,Yes,15
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,2.2,47.8%,594,0%,Yes,Yes,16
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,4.6,0%,657,0%,Yes,Yes,16
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,5.2,53.6%,669,0%,Yes,Yes,18
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,2.6,51.3%,639,0%,Yes,Yes,18
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,1.6,25%,639,5.9%,Yes,Yes,17
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,2,19%,597,0%,Yes,Yes,18
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,4.8,36.2%,696,0%,Yes,Yes,18
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,3,10.5%,639,0%,No,No,14
20028761,Agricultural Sciences,Animal Sciences,Ohio State University Main Campus,Animal Sciences,5.2,39.2%,621,0%,Yes,Yes,18
20041861,Agricultural Sciences,Animal Sciences,Oklahoma State University Main Campus,Animal Nutrition,4.8,35.7%,703,46.7%,Yes,No,17
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,1,14.3%,600,0%,Yes,No,13
20018522,Agricultural Sciences,Animal Sciences,Oregon State University,Animal Science,2.4,39.1%,630,5.9%,Yes,Yes,12
20031169,Agricultural Sciences,Animal Sciences,Penn State University,Animal Science,2.4,48.6%,593,0%,Yes,Yes,18
20055637,Agricultural Sciences,Animal Sciences,Purdue University Main Campus,Animal Sciences,3.8,52.6%,664,0%,Yes,Yes,18
20012353,Agricultural Sciences,Animal Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Animal Sciences,2,0%,645,0%,Yes,Yes,16
20040613,Agricultural Sciences,Animal Sciences,Southern Illinois University Carbondale,Zoology,3.8,7.1%,607,0%,Yes,No,15
20021700,Agricultural Sciences,Animal Sciences,Texas A & M University,Animal Science,3.8,0%,615,0%,Yes,Yes,18
