Program ID,Broad Field,Field,Institution Name,Program Name,Average Number of Publications (2000-2006) per Allocated Faculty (2006),Average Citations per Publication,Percent of Faculty with Grants (2006),Awards per Allocated Faculty Member (2006)
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,1.28,0.75,83.3%,0.07
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,0.97,1.38,77.8%,0
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,1.85,2.16,69.3%,1.63
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,2.14,1.3,64.7%,0.52
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,0.31,0.98,70.8%,0.19
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,0.7,0.91,88.5%,1.34
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,2.84,1.5,75.7%,0.1
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,2.45,1.34,75.4%,0.04
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,0.99,0.73,97.2%,0.03
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,1.3,2.15,79.9%,0.41
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,1.28,1.03,66.9%,0.07
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,1.61,1.83,66.3%,0.74
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,2.46,1.13,82.5%,0.1
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,0.94,0.7,55.5%,0.36
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,1.16,0.98,78.2%,0.14
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,1.07,2.11,77.9%,0.24
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,0.99,1.3,79.4%,0.06
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,0.76,1.35,57.3%,0
20028761,Agricultural Sciences,Animal Sciences,Ohio State University Main Campus,Animal Sciences,1.85,1.16,74.9%,0.3
20041861,Agricultural Sciences,Animal Sciences,Oklahoma State University Main Campus,Animal Nutrition,1.17,0.9,87.6%,0.07
20018522,Agricultural Sciences,Animal Sciences,Oregon State University,Animal Science,0.69,1.03,56.7%,0
20031169,Agricultural Sciences,Animal Sciences,Penn State University,Animal Science,0.78,1.26,49.9%,0.24
20055637,Agricultural Sciences,Animal Sciences,Purdue University Main Campus,Animal Sciences,1.44,1.28,84%,0.08
20012353,Agricultural Sciences,Animal Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Animal Sciences,1,1.42,71.3%,0.66
20040613,Agricultural Sciences,Animal Sciences,Southern Illinois University Carbondale,Zoology,1.08,1.68,79.3%,0
20021700,Agricultural Sciences,Animal Sciences,Texas A & M University,Animal Science,1.15,1.22,55.5%,0.56
20021807,Agricultural Sciences,Animal Sciences,Texas A & M University,Wildlife & Fisheries Sciences,1.58,0.97,90.3%,0.26
20065151,Agricultural Sciences,Animal Sciences,Texas A & M University,Reproductive Physiology,1.02,1,81.4%,1.39
20022929,Agricultural Sciences,Animal Sciences,Texas Tech University,Zoology,0.72,2.09,73.4%,1.01
20027995,Agricultural Sciences,Animal Sciences,University of Alaska Fairbanks,Fisheries,0.81,1.31,100%,0.07
20033785,Agricultural Sciences,Animal Sciences,University of Arizona,Animal Sciences,1.06,1.63,85.7%,0.02
20013530,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Animal Sciences,2.31,0.53,55.2%,0.11
20013750,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Poultry Science,1.97,1.08,91.5%,0
20023805,Agricultural Sciences,Animal Sciences,University of Connecticut,Animal Science PhD,1.43,1.66,69%,0.03
20024215,Agricultural Sciences,Animal Sciences,University of Connecticut,Pathobiology PhD,1.63,1.66,78.6%,0
20012081,Agricultural Sciences,Animal Sciences,University of Delaware,Animal Science,0.67,2.13,69.7%,0.05
20012926,Agricultural Sciences,Animal Sciences,University of Florida,Animal Sciences,1.1,1.1,63.7%,0.41
20013080,Agricultural Sciences,Animal Sciences,University of Florida,Fisheries and Aquatic Sciences,0.53,1.04,84.6%,0.03
20013501,Agricultural Sciences,Animal Sciences,University of Florida,Veterinary Medical Sciences,1.6,1.3,90.2%,0.03
20019563,Agricultural Sciences,Animal Sciences,University of Georgia,Animal and Dairy Science,1.96,1.36,92.4%,0.52
20019945,Agricultural Sciences,Animal Sciences,University of Georgia,Poultry Science,2.83,0.88,90%,0.54
20014966,Agricultural Sciences,Animal Sciences,University of Hawaii At Manoa,Zoology,1.1,2.42,87.8%,0.13
20067557,Agricultural Sciences,Animal Sciences,University of Idaho,Animal Physiology,1.39,2.5,83.3%,0.06
20038777,Agricultural Sciences,Animal Sciences,University of Illinois At Urbana-Champaign,Animal Sciences,2.66,1.73,91.5%,1.59
20028059,Agricultural Sciences,Animal Sciences,University of Kentucky,Animal Sciences,0.86,1.22,62.3%,0.14
20049986,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Animal Sciences,1.5,1.49,56.1%,0.25
20050548,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Veterinary Medical Sciences,0.99,2.34,100%,0
20039598,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Animal Sciences,1.43,1.24,85.9%,0
20040299,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Veterinary Medicine,1.9,1.54,73.9%,0
20025188,Agricultural Sciences,Animal Sciences,University of Missouri - Columbia,Animal Sciences,1.72,1.53,90.8%,0.13
20017086,Agricultural Sciences,Animal Sciences,University of Nebraska - Lincoln,Animal Science,1.05,1.04,51.7%,0.31
20045647,Agricultural Sciences,Animal Sciences,University of Tennessee,Animal Science,0.96,1.23,47.8%,1.24
20059439,Agricultural Sciences,Animal Sciences,University of Washington,Aquatic and Fishery Sciences,1.39,2.62,91.1%,0.11
20030306,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Animal Sciences,1.31,1.86,78.1%,1.07
20030526,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Dairy Science,2.2,1.96,78.7%,0.87
20031127,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Zoology,1.82,2.89,76.3%,1.24
20024752,Agricultural Sciences,Animal Sciences,University of Wyoming,Reproductive Biology,1.13,1.27,11.6%,0
20044363,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,"Animal Sciences, Dairy",0.95,1.14,64.9%,0.28
20044376,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Animal and Poultry Sciences,1.32,0.92,89.3%,0.18
20044541,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Fisheries and Wildlife,1.42,1.42,88.7%,0.19
20058304,Agricultural Sciences,Animal Sciences,Washington State University,Animal Sciences,1.68,1.12,80.4%,0.14
20037862,Agricultural Sciences,Entomology,Auburn University,Entomology,1.29,1.48,85.7%,0
20016841,Agricultural Sciences,Entomology,Clemson University,Entomology,1.04,0.55,89.9%,0.23
20015761,Agricultural Sciences,Entomology,Cornell University,Entomology,1.77,1.36,90.2%,0.2
20016430,Agricultural Sciences,Entomology,Iowa State University,Entomology,0.96,1.06,67%,0.02
20028596,Agricultural Sciences,Entomology,Kansas State University,Entomology,1.82,1.25,86.8%,0.19
20058087,Agricultural Sciences,Entomology,Louisiana State University And Agricultural And Mechanical College,Entomology,1.29,1.02,82.1%,0.01
20046918,Agricultural Sciences,Entomology,Michigan State University,Entomology,1.67,1.21,94.6%,0.2
20024451,Agricultural Sciences,Entomology,Mississippi State University,Entomology and Plant Pathology (degree: PhD in Life Sciences),0.4,0.53,81.8%,0.02
20041418,Agricultural Sciences,Entomology,North Carolina State University,Entomology,1.81,1.25,82.6%,0.32
20028965,Agricultural Sciences,Entomology,Ohio State University Main Campus,Entomology,1.87,0.99,88.1%,0.51
20041971,Agricultural Sciences,Entomology,Oklahoma State University Main Campus,Entomology,0.52,0.59,55.2%,0
20018564,Agricultural Sciences,Entomology,Oregon State University,Entomology,0.44,1.28,100%,0.05
20031392,Agricultural Sciences,Entomology,Penn State University,Entomology,1.25,1.82,95.2%,0.06
20055844,Agricultural Sciences,Entomology,Purdue University Main Campus,Entomology,1.25,0.95,67.9%,0.09
20012531,Agricultural Sciences,Entomology,Rutgers The State University of New Jersey New Brunswick Campus,Entomology,0.94,1.47,100%,0.64
20013624,Agricultural Sciences,Entomology,University of Arkansas Main Campus,Entomology,1.48,0.41,82.9%,0
20067159,Agricultural Sciences,Entomology,University of California-Davis,Entomology,2.31,1.21,80.4%,0.51
20048819,Agricultural Sciences,Entomology,University of California-Riverside,Entomology,2.69,1.32,95.9%,1.08
20013064,Agricultural Sciences,Entomology,University of Florida,Entomology and Nematology,1.49,0.97,85.4%,0.09
20019699,Agricultural Sciences,Entomology,University of Georgia,Entomology,1.31,1.37,79.1%,0.1
20038984,Agricultural Sciences,Entomology,University of Illinois At Urbana-Champaign,Entomology,2.33,2.46,75.1%,6.1
20028198,Agricultural Sciences,Entomology,University of Kentucky,Entomology,1.82,1.26,80.9%,0.26
20050195,Agricultural Sciences,Entomology,University of Maryland College Park,Entomology,0.78,2.22,91.7%,0.12
20039857,Agricultural Sciences,Entomology,University of Minnesota-Twin Cities,Entomology,1.77,1.14,100%,0.06
20017099,Agricultural Sciences,Entomology,University of Nebraska - Lincoln,Entomology,1.23,0.95,73.6%,0.08
20030584,Agricultural Sciences,Entomology,University of Wisconsin-Madison,Entomology,2.22,1.35,75.8%,0.72
20044525,Agricultural Sciences,Entomology,Virginia Polytechnic Institute And State University,Entomology,0.8,0.63,85.5%,0.13
20058427,Agricultural Sciences,Entomology,Washington State University,Entomology,1.3,1.11,88.1%,0.11
20016854,Agricultural Sciences,Food Science,Clemson University,Food Technology,0.88,0.86,63.7%,0
20056351,Agricultural Sciences,Food Science,Colorado State University,Food Science & Human Nutrition,1.15,1.18,66.7%,0
20015787,Agricultural Sciences,Food Science,Cornell University,Food Science and Technology,2.31,1.79,100%,0.97
20016456,Agricultural Sciences,Food Science,Iowa State University,Food Science & Technology,2.37,1.43,92.8%,0.11
20028606,Agricultural Sciences,Food Science,Kansas State University,Food Science,1.86,1.14,90.9%,0.13
20058090,Agricultural Sciences,Food Science,Louisiana State University And Agricultural And Mechanical College,Food Science,1.33,1.23,85.4%,0.09
20046947,Agricultural Sciences,Food Science,Michigan State University,Food Science,1.27,1.8,78.5%,0.36
20024464,Agricultural Sciences,Food Science,Mississippi State University,Food Science (degree: PhD in Food Science and Nutrition),0.58,0.74,83.7%,0
20041434,Agricultural Sciences,Food Science,North Carolina State University,Food Science,1.99,1.29,72.9%,0.27
20028994,Agricultural Sciences,Food Science,Ohio State University Main Campus,Food Science and Nutrition,2.34,1.27,87.5%,0.35
20041997,Agricultural Sciences,Food Science,Oklahoma State University Main Campus,Food Science,0.69,1.18,84.8%,0.6
20018593,Agricultural Sciences,Food Science,Oregon State University,Food Science and Technology,1.25,1.83,71.7%,0.51
20031402,Agricultural Sciences,Food Science,Penn State University,Food Science,1.86,1.37,93.7%,0.12
20055857,Agricultural Sciences,Food Science,Purdue University Main Campus,Food Science,2.07,1.49,89.9%,1.22
20021632,Agricultural Sciences,Food Science,Texas A & M University,Food Science & Technology,1.25,1.28,77.8%,0.34
20012557,Agricultural Sciences,Food Science,Rutgers The State University of New Jersey New Brunswick Campus,Food Science,1.69,1.68,100%,0.27
20013640,Agricultural Sciences,Food Science,University of Arkansas Main Campus,Food Science,2.54,0.91,98.5%,0
20067175,Agricultural Sciences,Food Science,University of California-Davis,Food Science,2.12,1.79,88.1%,0.1
20013103,Agricultural Sciences,Food Science,University of Florida,Food Science and Human Nutrition: Food Science,1.73,1.4,100%,0.33
20019712,Agricultural Sciences,Food Science,University of Georgia,Food Science,2.11,1.58,79.2%,0.88
20039006,Agricultural Sciences,Food Science,University of Illinois At Urbana-Champaign,Food Science and Human Nutrition,1.86,1.45,84.5%,1.02
20050218,Agricultural Sciences,Food Science,University of Maryland College Park,Food Science,2.48,1.33,72.2%,0.09
20047946,Agricultural Sciences,Food Science,University of Massachusetts Amherst,Food Science,4.65,1.71,90.5%,0.92
20039909,Agricultural Sciences,Food Science,University of Minnesota-Twin Cities,Food Science,1.41,1.29,71%,0.84
20025379,Agricultural Sciences,Food Science,University of Missouri - Columbia,Food Science,0.83,1,41.5%,0
20017109,Agricultural Sciences,Food Science,University of Nebraska - Lincoln,Food Science & Technology,0.89,1.2,79.5%,0.33
20045812,Agricultural Sciences,Food Science,University of Tennessee,Food Science and Technology,1.06,0.97,75.9%,0.09
20027474,Agricultural Sciences,Food Science,University of Vermont,"Animal, Nutrition, and Food Sciences",0.59,1.57,70.3%,0
20030607,Agricultural Sciences,Food Science,University of Wisconsin-Madison,Food Science,2.31,1.67,81.5%,0.67
20044554,Agricultural Sciences,Food Science,Virginia Polytechnic Institute And State University,Food Science and Technology,1.51,1.14,100%,0.13
20058443,Agricultural Sciences,Food Science,Washington State University,Food Science,2.55,1.34,86.5%,0.16
20037891,Agricultural Sciences,Forestry and Forest Sciences,Auburn University,Forestry,0.56,0.99,71.6%,0
20016867,Agricultural Sciences,Forestry and Forest Sciences,Clemson University,Forest Resources,0.67,1.24,85.3%,0.14
20056364,Agricultural Sciences,Forestry and Forest Sciences,Colorado State University,"Forest, Rangeland, and Watershed Stewardship",1,2.3,80.8%,0.04
20016469,Agricultural Sciences,Forestry and Forest Sciences,Iowa State University,Forestry,0.66,1.06,77.7%,0.3
20058100,Agricultural Sciences,Forestry and Forest Sciences,Louisiana State University And Agricultural And Mechanical College,Forestry,0.86,0.89,95.9%,0.06
20046950,Agricultural Sciences,Forestry and Forest Sciences,Michigan State University,Forestry,0.96,2.57,73.2%,0.12
20022343,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Science,1.2,2.31,94.6%,0.15
20022356,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Molecular Genetics and Biotechnology,1.37,3.97,84.1%,0.33
20024477,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forest Products (degree: PhD in Forest Resources),0.48,0.37,100%,0
20024480,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forestry (degree: PhD in Forest Resources),0.43,0.81,91.6%,0.09
20041447,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Forestry,0.69,1.67,77%,0.25
20041683,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Wood and Paper Science,0.82,1.16,88.3%,0.04
20018603,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Engineering,0.99,1.29,79.4%,0
20018616,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Science,1.32,2.5,84.8%,0.2
20018629,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Resources,0.77,1.25,88.4%,0.1
20018742,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Wood Science,1.84,0.53,93.1%,0
20031415,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Forest Resources,0.98,1.04,93.3%,0.02
20031800,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Wildlife and Fisheries Science,1.08,1.43,100%,0.04
